Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Petteri,Hirvonen,Granfeltinbulevardi 628,Finström,18624,Finland,FI,19630808-315D,+358,044 052 0688,1963-08-08,True
Kirsten,Bøe,Næssstranda 2,Torbjørnhamn,8650,Norge,NO,19981228-1041,+47,60 54 47 74,1998-12-28,True
Reidun,Helland,Ruudstubben 8,Sandvik,4544,Norge,NO,19881104-2713,+47,409 72 584,1988-11-04,True
Laila,Gulbrandsen,Sætherengen 8,Danielsen,7449,Norge,NO,19860319-8715,+47,975 59 206,1986-03-19,True
Kristian,Andersson,Stationsvägen 50,Lidingö,27322,Sverige,SE,19680409-7430,+46,095-13 86 30,1968-04-09,True
Erin,Conner,Morrison Wells 976,Christopherberg,07248,Danmark,DK,19581110-3682,+45,561.524.8339x1264,1958-11-10,True
Thor,Solberg,Isaksenhaugen 8,Lie,0685,Norge,NO,19540217-1297,+47,90 78 42 42,1954-02-17,True
Henry,Söderström,Furugatan 7,Borlänge,40897,Sverige,SE,19720424-3489,+46,08-120 50 99,1972-04-24,True
Jakob,Andersson,Parkvägen 05,Norrköping,45196,Sverige,SE,19480204-1037,+46,018-398 17 30,1948-02-04,True
Elsa,Henriksson,Kvarnvägen 78,Örnsköldsvik,92821,Sverige,SE,19681215-8471,+46,029-58 60 82,1968-12-15,True
Greta,Eriksson,Parktorget 32,Lidingö,48294,Sverige,SE,19760320-6169,46,08-85 74 55,1976-03-20,True
Vincent,Allen,Perry Pines 57899,Williamsstad,86532,Danmark,DK,19400125-4803,+45,927.242.9314x59156,1940-01-25,True
Maria,Nyman,Strandvägen 6,Luleå,49558,Sverige,SE,19871114-9101,+46,08-239 529 69,1987-11-14,True
Eddie,Dahlgren,Gentorget 6,Falun,22527,Sverige,SE,19420712-6705,+46,08-84 65 53,1942-07-12,True
Peter,Bengtsson,Skolgränd 367,Växjö,35335,Sverige,SE,19730218-5982,+46,039-579 23 04,1973-02-18,True
Erkki,Kivimäki,Saparontie 9,Vesilahti,23173,Finland,FI,19720210-183N,+358,+358768424345,1972-02-10,True
Åsa,Mohammadi,Björkgatan 9,Landskrona,55108,Sverige,SE,19871029-0429,+46,+46 (0)480 237 55,1987-10-29,True
Sinikka,Hautamäki,Gunillanpolku 69,Tampere,72285,Sverige,FI,19921124-0299,+358,+358 108632517,1992-11-24,True
Jukka,Helenius,Versokuja 9,Rantasalmi,81703,Finland,FI,19710525-4473,+358,+358407565853,1971-05-25,True
Ulf,Johansson,Ängsgatan 622,Umeå,11858,Sverige,SE,19530429-8149,+46,08-808 653 89,1953-04-29,True
Nicholas,Goodman,Warren Vista 930,Matthewmouth,84410,Danmark,DK,19560726-6995,+45,319-922-3492x759,1956-07-26,True
Dag,Strand,Danielsenstranda 9,Geirfjord,5045,Norge,NO,19430911-3796,+47,953 44 014,1943-09-11,True
Jeffrey,Johnson,Tim Underpass 05340,South Erika,97094,Danmark,DK,19610807-6264,+45,+1-367-243-1084,1961-08-07,True
David,Weber,Michael Turnpike 71943,West Jenniferport,20124,Danmark,DK,19500921-7002,+45,641-259-8923,1950-09-21,True
Philip,Lopez,Martin Freeway 8500,Millertown,39662,Danmark,DK,19920714-6405,+45,817-209-8174,1992-07-14,True
Paul,Obrien,Sharon Rapid 136,Stephaniemouth,06912,Danmark,DK,19980321-3586,+45,(863)638-0012x67209,1998-03-21,True
Thomas,Kirby,Joshua Crossroad 97617,North Erintown,44442,Danmark,DK,19680127-4304,+45,518.628.9189,1968-01-27,True
Abigail,Trujillo,Bridges Lights 630,Lake Alisonborough,73784,Danmark,DK,19480716-9638,+45,382-726-5286x850,1948-07-16,True
Kerry,David,Amber Landing 445,Heatherbury,95102,Danmark,DK,19910226-7391,+45,(816)637-7734,1991-02-26,True
Lars,Edlund,Gentorget 2,Karlstad,93379,Sverige,SE,19560503-0037,+46,08-672 91 54,1956-05-03,True
Randy,Bush,Mark Oval 67066,East Cynthia,47418,Danmark,DK,19470612-4804,+45,899-684-6286x936,1947-06-12,True
Sissel,Myhre,Halvorsenskrenten 623,Emmastad,5808,Norge,NO,19971202-7014,+47,26 28 02 35,1997-12-02,True
Kari,Miller,Shelley Cape 882,Lake Travisberg,27965,Danmark,DK,19440518-2941,+45,572.905.7030x64696,1944-05-18,True
Finn,Hagen,Brekkehavna 2,Camillaodden,0704,Norge,NO,19871223-3081,+47,23 79 21 68,1987-12-23,True
Annika,Johansson,Trädgårdsgatan 15,Kristianstad,19836,Sverige,SE,19770418-0596,+46,+46 (0)085 064 27,1977-04-18,True
Hanna,Madsen,Johnsentunet 03,Monanes,7045,Norge,NO,19840522-8997,+47,962 73 926,1984-05-22,True
Sakari,Kämäräinen,Poikasaartenkatu 04,Hankasalmi,82500,Finland,FI,19921226-573R,+358,+358 915647528,1992-12-26,True
Linnéa,Nordström,Idrottsgatan 2,Karlskoga,31983,Sverige,SE,19451107-4823,+46,08-12 79 13,1945-11-07,True
Jeremy,Mcdonald,Alvarez Flats 133,West Adrian,39788,Danmark,DK,19940122-0726,+45,6444665041,1994-01-22,True
Anders,Johansson,Skolvägen 4,Örebro,20918,Sverige,SE,19740402-7572,+46,+46 (0)653 405 28,1974-04-02,True
Mattias,Söderström,Åkergatan 68,Umeå,14245,Sverige,SE,19620401-5664,+46,08-620 924 83,1962-04-01,True
Jon,Östman,Ängstorget 3,Lidköping,31422,Sverige,SE,19951105-0325,+46,08-68 82 39,1995-11-05,True
Mette,Johansen,Jørgensenspranget 127,Ingridhelle,2139,Norge,NO,19581018-1442,+47,+4793802488,1958-10-18,False
Anja,Leinonen,Fagottikuja 1,Rantasalmi,69638,Finland,FI,19681118-087V,+358,010 653 9921,1968-11-18,True
Per,Jenssen,Andersenstykket 6,Danielberg,3826,Norge,NO,19520102-7122,+47,42487247,1952-01-02,True
Sofie,Karlsen,Nilsentjernet 49,Jensen,2025,Norge,NO,19760513-6596,+47,07 17 73 71,1976-05-13,True
Karin,Dahl,Pedersengata 3,Kareneid,9705,Norge,NO,19590420-8133,+47,36121290,1959-04-20,True
Julie,Franco,Soto Inlet 1917,North Maureenmouth,65167,Danmark,DK,19810211-6649,+45,(876)227-2637,1981-02-11,True
Erling,Sivertsen,Johansenstranda 4,Sandvik,4440,Norge,NO,19930401-3761,+47,42502513,1993-04-01,True
Hege,Hagen,Jenssenrøa 00,Theasand,7209,Norge,NO,19510817-0306,+47,497 41 685,1951-08-17,True
Kayla,Mckinney,Timothy Ways 28621,Lake Michael,46893,Danmark,DK,19791224-9107,+45,918.591.6787,1979-12-24,True
Ricky,Gray,Cody Junction 3225,Lake Catherine,57390,Danmark,DK,19560911-0858,+45,(903)773-5521x462,1956-09-11,True
Michael,Hardy,Underwood Manor 584,Vickieton,58492,Danmark,DK,19490125-5772,+45,481.749.4216x25249,1949-01-25,True
Jennifer,Schmidt,Morales Circles 5466,East Wendyville,37584,Danmark,DK,19950619-2167,+45,667-966-6112x9400,1995-06-19,True
David,Bohlin,Fabriksgatan 9,Norrköping,37150,Sverige,SE,19570925-4061,+46,08-005 441 11,1957-09-25,True
Lars,Engdahl,Skolgränd 921,Ängelholm,35332,Sverige,SE,19660830-4142,+46,08-256 65 57,1966-08-30,True
Cajsa,Lindell,Industrigatan 1,Örebro,19972,Sverige,SE,19931129-5407,+46,08-161 65 61,1993-11-29,True
Danielle,Reyes,Alvarez Path 163,Kirbychester,65894,Danmark,DK,19791031-4961,+45,886-679-6002,1979-10-31,True
Daniel,Mitchell,Jackson Motorway 699,Delgadoburgh,17539,Danmark,DK,19581119-9574,+45,716.598.8973,1958-11-19,True
Leon,Bodin,Backvägen 8,Jönköping,61423,Sverige,SE,19500131-1657,+46,0466-86 23 26,1950-01-31,True
Henry,Bergqvist,Furustigen 801,Sundsvall,26912,Sverige,SE,19561104-7695,+46,08-103 41 73,1956-11-04,True
Bjørn,Pedersen,Jenssengrenda 42E,Solberg,2522,Norge,NO,19710513-4873,+47,407 68 784,1971-05-13,True
Yasmin,Andrén,Björkgränd 6,Falun,94345,Sverige,SE,19660313-5449,+46,08-86 50 37,1966-03-13,True
Lauri,Valkonen,Gunillankuja 525,Tornio,92261,Finland,FI,19420215-828F,+358,0124107005,1942-02-15,True
Sverre,Engen,Nielsenlunden 98,Pedersen,9255,Norge,NO,19990510-2686,+47,45353707,1999-05-10,True
Eugene,Howard,Misty Skyway 989,South Cole,49933,Danmark,DK,19700708-6789,+45,658-358-9164x267,1970-07-08,True
Mika,Eloranta,Gadolininpolku 9,Parainen,51361,Finland,FI,19890307-500M,+358,+358 156815983,1989-03-07,True
Elisabeth,Boman,Kyrkgränd 1,Varberg,99009,Sverige,SE,19400819-8762,+46,0073-58 37 49,1940-08-19,True
Marie,Andersson,Bäckgatan 56,Landskrona,95621,Sverige,SE,19741120-5069,+46,0201-460 90,1974-11-20,True
Erling,Tangen,Andersenhaugen 9,Ali,0006,Norge,NO,19630414-3241,+47,+47 70 84 12 68,1963-04-14,True
Hannele,Laaksonen,Järkälepolku 5,Kurikka,99781,Finland,FI,19681220-862S,+358,(+358) 581227949,1968-12-20,True
Björn,Dahlberg,Stationsstigen 93,Karlskoga,36863,Sverige,SE,19590419-2248,+46,08-956 33 93,1959-04-19,True
Gun,Smith,Skogsgatan 3,Sundsvall,20765,Sverige,SE,19870716-6456,+46,081-57 60 05,1987-07-16,True
Peter,Håkansson,Idrottsgatan 233,Kalmar,42208,Sverige,SE,19840718-1632,+46,08-04 72 63,1984-07-18,True
Danielle,Banks,Adams Meadows 5461,West Jasonstad,07638,Danmark,DK,19820302-9042,+45,459-628-2557x10634,1982-03-02,True
Gerd,Halvorsen,Aasekra 93E,Haugland,9523,Norge,NO,19900608-8397,+47,408 34 056,1990-06-08,True
Irene,Adolfsson,Stationsstigen 4,Sundsvall,26314,Sverige,SE,19741113-7379,+46,+46 (0)26 35 06 70,1974-11-13,True
Laila,Knutsen,Eideløkka 82,Arildbø,0101,Norge,NO,19560721-9629,+47,02 13 10 22,1956-07-21,True
Sigurd,Holm,Solbergmyra 417,Kristiansen,2826,Norge,NO,19801124-8752,47,906 13 352,1980-11-24,True
Anna,Holmqvist,Björkstigen 84,Södertälje,57639,Sverige,SE,19590329-1111,+46,08-06 56 52,1959-03-29,True
Andreas,Karlsen,Berntsengata 406,Pedersen,3204,Norge,NO,19691021-3295,+47,427 82 262,1969-10-21,True
Helena,Rissanen,Yllästunturinkatu 683,Liperi,81290,Finland,FI,19560829-207D,+358,(+358) 020495656,1956-08-29,True
Siri,Gulbrandsen,Iversenjordet 62B,Audøy,5851,Norge,NO,19470426-6568,+47,64 92 56 66,1947-04-26,True
Anna,Bakken,Eriksenstubben 52,Simonsen,1252,Norge,NO,19570112-6255,+47,94037421,1957-01-12,True
Seppo,Savolainen,Castréninkatu 01,Jämijärvi,63217,Finland,FI,19730503-742K,+358,0648793932,1973-05-03,True
Justin,Thompson,Adams Passage 97357,Port Jeffrey,76826,Danmark,DK,20000214-0593,+45,689.606.2925x76406,2000-02-14,True
Lars,Bergman,Kyrkgatan 33,Trollhättan,60081,Sverige,SE,19660618-0253,+46,017-60 79 52,1966-06-18,True
Christian,Vik,Christensenmyra 927,Johnsen,0938,Norge,NO,19660328-3361,+47,11705771,1966-03-28,True
Angela,Nelson,Cook Brook 121,Nicholasview,53933,Danmark,DK,19740614-2376,+45,(486)882-8235x2058,1974-06-14,True
Patricia,Salomonsson,Idrottsgatan 2,Skellefteå,34012,Sverige,SE,19440413-4701,+46,08-68 22 32,1944-04-13,True
Britt,Engen,Nielsenbråten 3,Ahmed,2045,Norge,NO,19470521-6968,+47,+47 13 52 63 88,1947-05-21,True
Johan,Pedersen,Hauggjerdet 2G,Audbø,5094,Norge,NO,19960131-0779,+47,47 25 97 88,1996-01-31,True
Sandra,Bergström,Parkvägen 979,Uppsala,29424,Sverige,SE,19810323-4982,+46,+46 (0)073 250 80,1981-03-23,True
Harald,Solberg,Evensenplassen 17G,Marenstrand,7866,Norge,NO,19971011-6633,+47,33 92 57 67,1997-10-11,False
Elin,Johansson,Skogsstigen 1,Östersund,52887,Sverige,SE,19871212-3751,+46,0515-468 74,1987-12-12,True
Rolf,Larsson,Backgränd 025,Kristianstad,46368,Sverige,SE,19730409-7618,+46,0131-14 87 98,1973-04-09,True
Marcus,Boström,Industrivägen 45,Nyköping,37081,Sverige,SE,19730418-5984,+46,08-942 58 42,1973-04-18,True
Robert,Keller,Teresa Mount 5477,East Patriciastad,10960,Danmark,DK,19910424-8406,+45,+1-944-735-5413x5543,1991-04-24,True
Øyvind,Ali,Næssbakken 7G,Kimsund,8049,Norge,NO,19761205-0789,+47,16 82 94 21,1976-12-05,True
Marek,Martinsson,Skolgatan 151,Piteå,21368,Sverige,SE,19970922-5108,+46,08-017 04 25,1997-09-22,True
Viljami,Lehtinen,Benktankatu 05,Jomala,07528,Finland,FI,19640313-5536,+358,+358828385419,1964-03-13,True
Thomas,Eriksson,Aspgränd 605,Lidingö,99345,Sverige,SE,19670515-3446,+46,0956-54 91 11,1967-05-15,True
Margareta,Gustavsson,Industrigatan 24,Sundsvall,14696,Sverige,SE,19621130-5454,+46,08-073 50 58,1962-11-30,True
Sigrid,Andresen,Holmskrenten 85C,Ragnhildvik,0611,Norge,NO,19600303-0304,+47,34858845,1960-03-03,True
Tobias,Lundgren,Nyvägen 2,Västerås,34221,Sverige,SE,19630407-4113,+46,08-03 13 06,1963-04-07,True
Antero,Kauppinen,Agnetanbulevardi 6,Turku,25113,Finland,FI,19640613-3401,+358,+358614743573,1964-06-13,True
Jarkko,Laurila,Kolsinbulevardi 77,Lappeenranta,41228,Finland,FI,19590703-440E,+46,+358958535460,1959-07-03,True
Henrietta,Brännström,Skolgatan 74,Umeå,55598,Sverige,SE,19880930-8590,+46,08-741 27 81,1988-09-30,True
Alice,Fors,Villagränd 58,Borlänge,78664,Sverige,SE,19501110-6585,+46,0409-673 04,1950-11-10,True
Dag,Lie,Haugekroken 3,Perstad,6375,Norge,NO,19790426-8895,+47,939 16 993,1979-04-26,True
Ida,Nygård,Jenssenskogen 73E,Olabø,6591,Norge,NO,19891017-4163,+47,03923646,1989-10-17,True
Oliver,Green,Kyrkgatan 5,Piteå,20695,Sverige,SE,19891202-2044,+46,087-324 94 98,1989-12-02,True
Karl,Christensen,Nielsenåsen 39,Stiansund,7660,Norge,NO,19981107-2718,+47,99446109,1998-11-07,True
Juho,Suhonen,Lemuntie 52,Saltvik,30915,Finland,FI,19910905-340D,+358,+358 464452943,1991-09-05,True
Kjell,Hedlund,Järnvägstorget 4,Karlskrona,88619,Sverige,SE,19950418-0910,+46,08-598 723 71,1995-04-18,True
Per,Gustafsson,Industristigen 55,Sundsvall,75423,Sverige,SE,19890704-4522,+46,+46 (0)901 033 88,1989-07-04,True
Nathalie,Holst,Kvarnvägen 593,Alingsås,91842,Sverige,SE,19890812-1014,+46,0564-21 73 39,1989-08-12,True
Brandy,Hernandez,Rodriguez Island 016,South Aprilmouth,56153,Danmark,DK,19671024-8940,+45,+1-832-813-9094x88960,1967-10-24,True
Åsa,Nygren,Skogsgränd 37,Luleå,81444,Sverige,SE,19590221-0768,+46,0007-84 49 98,1959-02-21,True
Heidi,Laakso,Haahkakatu 751,Kumlinge,72367,Finland,FI,19850827-644N,+358,0115577110,1985-08-27,True
Håkon,Eriksen,Rasmussengjerdet 428,Karinås,1924,Norge,NO,19990802-7018,+47,78105695,1999-08-02,True
Kristiina,Virtanen,Veräjämäenbulevardi 985,Jyväskylä,91668,Finland,FI,19571118-634X,+358,(+358) 505071589,1957-11-18,True
Scott,Bryan,Tiffany Street 59036,Patelport,46246,Danmark,DK,19950813-8526,+45,(268)923-7150,1995-08-13,True
Brian,Sosa,Smith Dam 8076,Aprilland,07355,Danmark,DK,19460209-0325,+45,4436859092,1946-02-09,True
Mattias,Lindström,Skolgränd 258,Skövde,63889,Sverige,SE,19860228-5144,+47,0517-494 44,1986-02-28,True
Helena,Petersson,Kyrkovägen 0,Eskilstuna,92576,Sverige,SE,19831119-4779,+46,08-563 111 75,1983-11-19,True
Bengt,Lundberg,Villavägen 025,Lidingö,84230,Sverige,SE,19860202-6148,+46,0323-107 13,1986-02-02,True
Raija,Koivula,Salakkatie 8,Leppävirta,00425,Finland,FI,19740123-4203,+358,+358 715443894,1974-01-23,True
Ahmad,Lind,Industrivägen 8,Stockholm,96372,Sverige,SE,19990613-3527,+46,08-75 44 06,1999-06-13,True
Matthew,Henderson,Kathy Rapid 86121,Diazfort,74986,Danmark,DK,19461027-4292,+45,5217954485,1946-10-27,True
Bo,Lundgren,Skolstigen 679,Landskrona,11725,Sverige,SE,19690921-8508,+46,0684-607 59,1969-09-21,True
Elisabet,Pettersson,Ringtorget 9,Södertälje,90307,Sverige,SE,19870720-2400,+46,+46 (0)8 432 738 39,1987-07-20,True
Philip,Johansson,Björkgatan 467,Piteå,15659,Sverige,SE,19490817-1707,+46,+46 (0)72 09 26 93,1949-08-17,True
May,Andersson,Ängsstigen 70,Trelleborg,14011,Sverige,SE,19821215-1596,+46,065-12 69 98,1982-12-15,True
Inge,Sjöblom,Kvarngränd 376,Mölndal,11352,Sverige,SE,19460724-1688,+46,0114-090 50,1946-07-24,True
Mats,Sandberg,Parkstigen 1,Motala,51716,Sverige,SE,19700625-3048,+46,+46 (0)8 351 824 46,1970-06-25,True
Åke,Olsson,Industrigatan 350,Östersund,91740,Sverige,SE,19830109-2786,+46,08-069 80 01,1983-01-09,False
Maire,Hänninen,Oravabulevardi 19,Suonenjoki,01376,Finland,FI,19721207-603J,+358,+358912273530,1972-12-07,True
Laila,Christensen,Rønningåsen 6,Christensen,1623,Norge,NO,19811220-7433,+47,+47 38 85 04 07,1981-12-20,True
Malin,Eklöf,Skoltorget 998,Göteborg,87659,Sverige,SE,19841225-6631,+46,+46 (0)8 862 154 34,1984-12-25,True
Irja,Moilanen,Döbelninkuja 2,Mänttä-Vilppula,75623,Finland,FI,19890412-009N,+358,+358 468063148,1989-04-12,True
Juan,Nilsson,Furuvägen 4,Alingsås,97591,Sverige,SE,19910325-0414,+46,+46 (0)51 32 22 64,1991-03-25,True
Aleksi,Alatalo,Kuhankeittäjänkatu 16,Isojoki,03512,Finland,FI,19821229-713F,+358,+358 61 3983934,1982-12-29,True
Linnéa,Isaksson,Storgatan 80,Lidköping,41856,Sverige,SE,19860930-3994,+46,08-22 44 81,1986-09-30,True
Marja,Petersson,Skolgatan 1,Skövde,22752,Sverige,SE,19700714-9072,+46,+46 (0)8 269 508 12,1970-07-14,True
Joakim,Johannessen,Mathisenvollen 98,Henrikstrand,9003,Norge,NO,19441009-7440,+47,89436755,1944-10-09,True
Sofie,Lindberg,Storgatan 95,Eskilstuna,63204,Sverige,SE,19430902-6104,+46,+46 (0)8 145 037 21,1943-09-02,True
Joshua,Coleman,Judith Overpass 655,Lake Gregory,83995,Danmark,DK,19420317-8468,+45,988.473.2175x288,1942-03-17,True
Kristiina,Martikainen,Adolf Lindforsin polku 405,Kristiinankaupunki,13043,Finland,FI,19750128-7768,+358,+358368493658,1975-01-28,True
Maria,Middleton,Leblanc Mountain 665,West Alexander,07282,Danmark,DK,19950716-7909,+45,904.458.4359x9858,1995-07-16,True
Roland,Israelsson,Parkgränd 13,Uddevalla,75743,Sverige,SE,19520205-9211,+46,08-548 97 38,1952-02-05,True
Karoline,Jensen,Haugeholtet 99,Nygård,8401,Norge,NO,19490402-7715,+47,+47 04 73 75 17,1949-04-02,True
Grete,Isaksen,Birkelandmarka 840,Andreassen,3564,Norge,NO,19470331-0060,+47,37 45 48 20,1947-03-31,True
Janet,Whitehead,Harrison Crossing 99027,West Hannahchester,64987,Danmark,DK,19940707-1194,+45,242-531-2830,1994-07-07,True
Eugen,Hansson,Bäckvägen 243,Landskrona,40807,Sverige,SE,19460401-4503,+46,08-688 78 96,1946-04-01,True
Lisbeth,Olsson,Ekvägen 20,Göteborg,69134,Sverige,SE,19870911-7907,+46,08-41 73 81,1987-09-11,True
Bjørg,Kristiansen,Simonsentoppen 4,Thomassen,1707,Norge,NO,19510921-6070,+47,43627654,1951-09-21,True
Niklas,Karlberg,Bäckvägen 4,Luleå,60663,Sverige,SE,19501205-4965,+46,+46 (0)68 87 41 50,1950-12-05,True
Fredrik,Johansson,Parkgatan 3,Trollhättan,92743,Sverige,SE,19971231-5553,+46,+46 (0)8 044 313 10,1997-12-31,True
Johnny,Lindmark,Bäckgatan 8,Västerås,84502,Sverige,SE,19410408-0920,+46,098-12 62 29,1941-04-08,True
Ulf,Moberg,Kyrkogatan 24,Göteborg,72181,Sverige,SE,19531101-0402,+46,040-756 09 16,1953-11-01,True
Øyvind,Jørgensen,Holmringen 7H,Eriksen,4076,Norge,NO,19540426-3160,+47,+4760506472,1954-04-26,True
Marit,Moen,Ruudholtet 38,Engen,1722,Norge,NO,19811231-3017,+47,94650204,1981-12-31,True
Vincent,Sandberg,Parktorget 3,Ängelholm,47093,Sverige,SE,19400324-7551,+46,+46 (0)002 470 98,1940-03-24,True
Antero,Moilanen,Ylänkökatu 9,Siikainen,50029,Finland,FI,19691024-1760,+358,018 845 4725,1969-10-24,True
Ingeborg,Aas,Gundersenfaret 77B,Sandvik,4110,Norge,NO,19821118-1264,+47,99632251,1982-11-18,True
Trine,Berge,Aunegropa 9B,Egiløy,6657,Norge,NO,19661011-0216,+47,42226168,1966-10-11,True
Mikael,Pettersson,Furutorget 620,Lund,61036,Sverige,SE,19490501-3588,+46,+46 (0)8 969 278 49,1949-05-01,True
Valdemar,Bergman,Stationsvägen 7,Alingsås,99805,Sverige,SE,19890426-1188,+46,0975-07 30 50,1989-04-26,True
Danny,Harvey,Samuel Meadow 780,Heatherland,03660,Danmark,DK,19830617-4505,+45,363-554-5511x82924,1983-06-17,True
Hjalmar,Hansson,Björkvägen 23,Karlstad,45950,Sverige,SE,19620124-9910,+46,08-26 90 72,1962-01-24,True
Patrik,Olsson,Idrottsgränd 73,Linköping,27957,Sverige,SE,19740614-3990,+46,035-79 13 72,1974-06-14,True
Patrick,Rodriguez,Ashley Station 29866,West Pamelamouth,51953,Danmark,DK,19710820-6614,+45,531.953.0160,1971-08-20,True
James,Nguyen,Anderson Mill 11694,Andreabury,80952,Danmark,DK,19430620-9433,+45,+1-776-217-8514x22936,1943-06-20,True
Andre,Gould,Deborah Springs 098,Lake Johnfurt,44385,Danmark,DK,19811006-1252,+45,491.456.5832x8482,1981-10-06,True
Eli,Thorsen,Pedersenmyra 19,Tommyberg,5656,Norge,NO,19721223-4048,+47,99383057,1972-12-23,True
Kristian,Kristoffersen,Iversentjernet 9,Tangen,2036,Norge,NO,19701007-3320,+47,99580376,1970-10-07,False
Jari,Järvinen,Haakoninlahdenkuja 35,Lapinlahti,32055,Finland,FI,19680527-368X,+46,+358 77 4398260,1968-05-27,True
Roland,Olsson,Kvarngatan 78,Landskrona,40194,Sverige,SE,19540617-8476,+46,08-213 124 14,1954-06-17,True
Sydney,Alvarez,Carrie Crossing 20858,New Mariomouth,90049,Danmark,DK,19951220-5107,+45,(465)368-7415,1995-12-20,True
Jan,Johansson,Åkertorget 353,Motala,53823,Sverige,SE,19540610-3333,+46,08-740 75 20,1954-06-10,True
Ann,Tveit,Berntsenåsen 16E,Idastrand,2191,Norge,NO,19741103-5467,+47,35470535,1974-11-03,True
Marie,Knutsen,Ruudhagen 982,Runeeid,6962,Norge,NO,19900223-3914,+47,94255357,1990-02-23,True
David,Byström,Bäckgatan 118,Borlänge,13214,Sverige,SE,19480710-3048,+46,08-305 318 87,1948-07-10,True
Vidar,Jensen,Strandeggen 609,Simenberg,9796,Norge,NO,19740630-1791,+47,42023287,1974-06-30,True
Tage,Persson,Trädgårdsvägen 36,Alingsås,86892,Sverige,SE,19781030-9067,+46,08-626 351 18,1978-10-30,True
Anders,Danielsen,Bøejordet 53,Andreassen,7322,Norge,NO,19640130-4676,+47,+47 37 64 05 73,1964-01-30,True
Terje,Jørgensen,Knudsenhøgda 6B,Tveit,8659,Norge,NO,19920422-9534,+47,44074258,1992-04-22,True
Christoffer,Karlsson,Fabrikstorget 41,Motala,53774,Sverige,SE,19430215-7065,+46,08-123 311 07,1943-02-15,True
Rita,Simonsen,Gundersenmyra 2,Martehavn,8062,Norge,NO,19450306-4124,+47,90784779,1945-03-06,True
Erik,Torstensson,Skolstigen 356,Västerås,35084,Sverige,SE,19641204-5032,+46,0367-02 34 94,1964-12-04,True
Jon,Moe,Sæthertoppen 80,Nielsen,9455,Norge,NO,19551101-1846,+47,919 02 041,1955-11-01,True
Tyra,Nordström,Nygatan 551,Skellefteå,81972,Sverige,SE,19810217-7162,+46,08-455 81 06,1981-02-17,True
